Date,Channel,Impressions,Clicks,Signups,Purchases,Spend
5/1/2024,Google Ads,9735,1350,400,127,2786.24
5/1/2024,Instagram,13930,1601,466,184,3611.07
5/1/2024,YouTube,13170,1367,457,154,4206.82
5/2/2024,Google Ads,8422,1025,316,121,2673.29
5/2/2024,Instagram,7583,628,233,92,2029.21
5/2/2024,YouTube,13749,1847,505,235,3998.61
5/3/2024,Google Ads,7417,717,185,57,2211.57
5/3/2024,Instagram,14512,1179,378,125,4832.62
5/3/2024,YouTube,7284,582,129,56,2053.4
5/4/2024,Google Ads,12362,1016,340,159,4303.78
5/4/2024,Instagram,8393,895,357,164,2807.22
5/4/2024,YouTube,8763,1032,326,117,2393.07
5/5/2024,Google Ads,12244,1470,582,210,4047.41
5/5/2024,Instagram,12483,1844,722,251,4238.38
5/5/2024,YouTube,8495,959,358,142,2424.07
5/6/2024,Google Ads,12521,1347,279,97,4273.82
5/6/2024,Instagram,13466,1251,417,184,3457.38
5/6/2024,YouTube,7450,881,292,94,2150.88
5/7/2024,Google Ads,11219,1599,382,154,3281.66
5/7/2024,Instagram,14432,1979,538,235,4010.96
5/7/2024,YouTube,10232,873,209,66,2975.44
5/8/2024,Google Ads,9307,817,199,95,2353.27
5/8/2024,Instagram,10537,1547,328,148,3672.68
5/8/2024,YouTube,12754,1694,374,128,3365.31
5/9/2024,Google Ads,7030,630,183,72,1986.52
5/9/2024,Instagram,12218,1378,437,212,3936.15
5/9/2024,YouTube,11378,1001,322,103,3969.36
5/10/2024,Google Ads,11428,1671,478,169,3613.63
5/11/2024,Instagram,14240,1174,363,169,4190.53
5/12/2024,YouTube,13222,1815,629,190,4107.72
5/13/2024,Google Ads,11052,903,322,123,2764.52
5/14/2024,Instagram,7955,949,357,144,2334.95
5/15/2024,YouTube,14660,1420,485,178,3787.83
5/12/2024,Google Ads,12862,1143,451,225,4171.37
5/12/2024,Instagram,9970,1125,302,99,3216.46
5/12/2024,YouTube,10833,1391,491,241,3532.68
5/13/2024,Google Ads,9358,905,221,73,2408.73
5/13/2024,Instagram,7980,1131,298,94,2436.99
5/13/2024,YouTube,9466,886,240,111,3035.78
5/14/2024,Google Ads,9474,830,224,74,2772.93
5/14/2024,Instagram,9652,893,349,145,3216.62
5/14/2024,YouTube,8328,780,295,111,2686.69
5/15/2024,Google Ads,13423,1821,706,243,4325.3
5/15/2024,Instagram,14785,1865,472,193,4800.88
5/15/2024,YouTube,13469,1610,451,198,4013.77
5/16/2024,Google Ads,14741,1347,379,187,4670.35
5/16/2024,Instagram,7236,1060,391,190,2340.33
5/16/2024,YouTube,10012,937,215,103,2885.21
5/17/2024,Google Ads,9644,1410,480,239,3144.12
5/17/2024,Instagram,7897,636,224,75,2202.79
5/17/2024,YouTube,10738,1388,366,155,2911.16
5/18/2024,Google Ads,9692,1426,391,147,2891.17
5/18/2024,Instagram,12500,1409,284,89,3189.25
5/18/2024,YouTube,10946,1204,241,99,3527.43
5/19/2024,Google Ads,12777,1654,529,221,3421.96
5/19/2024,Instagram,8556,1015,329,161,2397.35
5/19/2024,YouTube,8546,1006,366,117,2751.82
5/20/2024,Google Ads,9206,1188,457,138,2745.14
5/20/2024,Instagram,14274,1169,426,189,3968.79
5/20/2024,YouTube,11252,1621,627,216,3807.74
5/21/2024,Google Ads,11533,1083,427,137,3532.28
5/21/2024,Instagram,14573,1994,410,166,4298.99
5/21/2024,YouTube,14445,1668,530,210,3699.71
5/22/2024,Google Ads,13846,1696,462,228,4460.82
5/22/2024,Instagram,8470,947,335,130,2194.61
5/22/2024,YouTube,8557,753,191,84,2313.12
5/23/2024,Google Ads,13950,1837,647,218,4548.68
5/23/2024,Instagram,14548,1659,553,241,3917.45
5/23/2024,YouTube,9231,1370,376,182,2840.76
5/24/2024,Google Ads,14695,1175,326,136,3812.26
5/24/2024,Instagram,9750,1443,525,240,2660.98
5/24/2024,YouTube,10131,1237,475,230,3285.97
5/25/2024,Google Ads,8778,772,235,99,2945.73
5/25/2024,Instagram,12540,1051,384,181,3462.75
5/25/2024,YouTube,11574,1168,292,145,3030.12
5/26/2024,Google Ads,8399,1107,346,115,2671.91
5/26/2024,Instagram,12018,1077,284,108,3481.39
5/26/2024,YouTube,13625,1716,576,180,4672.36
5/27/2024,Google Ads,9891,1051,250,105,3383.65
5/27/2024,Instagram,12395,1282,322,136,3193.84
5/27/2024,YouTube,8620,844,250,89,2635.1
5/28/2024,Google Ads,13002,1433,398,142,3491.02
5/28/2024,Instagram,11894,1025,387,173,3980.46
5/28/2024,YouTube,8292,843,238,85,2543.4
5/29/2024,Google Ads,9754,935,285,128,2479.53
5/29/2024,Instagram,14756,1945,723,324,4145.49
5/29/2024,YouTube,13448,1449,339,109,3583.38
5/30/2024,Google Ads,9316,968,251,123,2584.07
5/30/2024,Instagram,8028,752,261,81,2752.22
5/30/2024,YouTube,7897,696,226,93,2378.31
5/31/2024,Google Ads,7958,964,369,173,2496.3
5/31/2024,Instagram,7032,855,218,92,2070.74
5/31/2024,YouTube,11010,1309,513,157,3843.04
6/1/2024,Google Ads,7455,1054,331,157,2269.19
6/1/2024,Instagram,13670,2024,669,267,4612.62
6/1/2024,YouTube,13142,1269,337,159,3850.91
6/2/2024,Google Ads,11629,1367,322,115,3442.52
6/2/2024,Instagram,14851,1392,299,138,4375.71
6/2/2024,YouTube,7618,678,170,84,2493.25
6/3/2024,Google Ads,9569,1152,305,104,2825.37
6/3/2024,Instagram,9153,1268,440,191,2774.25
6/3/2024,YouTube,8092,686,228,99,2322.21
6/4/2024,Google Ads,7683,872,304,123,2506.69
